id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
10,Dorothy Mills,6.1,244.0,Released,2008-08-06,0.0,102.0,500000.0,tt1034306,en,Dorothy Mills,"When a gloomy, God-fearing island community is rocked by the assault of an infant, a psychiatrist is called in to examine Dorothy Mills, the teenager accused of the crime. Despite the villagers' hostility to her inquiry, she soon comes to suspect that Dorothy suffers from multiple personality disorder...",0.9901,Evil chose her,"Drama, Thriller, Mystery, Horror","Octagon Films, Euroimages Fund of the Council of Europe, Fidélité Productions, Fís Éireann/Screen Ireland","France, Ireland",English,"Niamh Shaw, Michèle Forbes, Barbara Adair, Marie Mullen, Joe Hanley, Paul Alan Walsh, Helen Norton, Gary Lewis, Clara McCormack, Louise Lewis, Eamonn Owens, Rynagh O'Grady, Carice van Houten, David Ganly, Jenn Murray, David Nesbitt, Ger Ryan, Ned Dennehy, Jordan Lee McGrath, David Murray, Gavin O'Connor, Charlene McKenna, Ian Lloyd Anderson, Glen Gannon, David Wilmot, Sean Stewart",Agnès Merlet,Giorgos Arvanitis,"Juliette Sales, Agnès Merlet","Marc Missonnier, Olivier Delbosc, Jean-Luc Ormières, Eric Jehelmann, James Flynn",Nathaniel Méchaly,6.0,6144.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nluoNHRQzJoyvMin0P4hOFC1d5M.jpg,2008,0.0,0.0,https://www.imdb.com/title/tt1034306/
11,My Spy,6.9,1281.0,Released,2020-01-09,10200000.0,99.0,18000000.0,tt8242084,en,My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",4.9517,Almost totally in control.,"Family, Action, Comedy","STXfilms, MWM Studios, Good Fear",United States of America,"Français, English","Chloe Coleman, Lindsay Mullan, Michelle McLeod, Darrin Baker, Basel Daoud, Kristen Schaal, Nicola Correia Damude, Rakhee Morzaria, Chris D'Silva, Vieslav Krystyan, Laura Cilevitz, Greg Bryk, Ken Jeong, Dave Bautista, Sukhman Gill, Ali Hassan, Parisa Fitz-Henley, Keller Viaene, Noah Dalton Danby, Robin Archer, Jean-Michel Nadeau, Devere Rogers, Sofie Michal Maiuri, Olivia Dépatie",Peter Segal,Larry Blanford,"Erich Hoeber, Jon Hoeber","Jake Weiner, Erich Hoeber, Jonathan Meisner, Gigi Pritzker, Peter Segal, Jon Hoeber, Dave Bautista, Robert Simonds, Chris Bender, Michael Flynn",Dominic Lewis,6.4,39367.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/n2C6jRK9PtPIs99RQhKtqGlsnsO.jpg,2020,0.0,0.0,https://www.imdb.com/title/tt8242084/
12,Gung Ho,6.0,195.0,Released,1986-03-14,36611610.0,111.0,13000000.0,tt0091159,en,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",8.097,"When East meets West, the laughs shift into high gear!","Comedy, Drama",Paramount Pictures,United States of America,English,"Fred Lehman, Kim Chan, Sab Shimono, Wil Masisak, Daniel Krell, Tommy Lafitte, Nann Mogg, Gedde Watanabe, John W. Iwanonkiw, George Wendt, Mariye Inouye, Sō Yamamura, Jihmi Kennedy, R. Scott Peck, Tamie Saiki, Patti Yasutake, Rance Howard, Thomas Ikeda, James Ritz, Linda Carola, Frank Seals Jr., Robert Hammond, Mimi Rogers, Maria Barney, Joseph Pilato, Michelle Johnson, Lynette Jenkins, Michael Keaton, Rodney Kageyama, Jim S. Cash, Paul C. Nolan, Dennis Sakamoto, Bill Dalzell, Joe Shelby, Ryonosuke Shiono, Jaime Vermeulen, Tak Kubota, Martin Ferrero, Richard M. McNally, Clint Howard, William S. Bartman, Jean Speegle Howard, John Turturro, Dock P. Ellis Jr., Jerry Tondo, Rick Overton, Stan Egi",Ron Howard,Donald Peterman,"Babaloo Mandel, Lowell Ganz, Edwin Blum","Tony Ganz, Deborah Blum, Ron Howard",Thomas Newman,6.3,14438.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sxnlQEb8dugTFK2KyFrq3iv3bHn.jpg,1986,23611610.0,181.62776923076922,https://www.imdb.com/title/tt0091159/
13,Bananas,6.693,762.0,Released,1971-04-28,11833696.0,82.0,2000000.0,tt0066808,en,Bananas,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",1.5291,The Revolutionist That Shook the World With LAUGHTER!,Comedy,"Jack Rollins & Charles H. Joffe Productions, United Artists",United States of America,"English, Español, Italiano, ","Dan Frazer, Ed Crowley, Ted Chapman, Dick Callinan, Bob O'Connell, Nicholas Saunders, Tino García, Axel Anderson, Robert Dudley, Arthur Hughes, Louise Lasser, Eulogio Peraza, René Enríquez, Dorothi Fox, Marilyn Hengst, Allen Garfield, Baron De Beer, El Tigre Pérez, Jack Axelrod, Norman Evans, Eddie Barth, Beeson Carroll, Mary Jo Catlett, Jacobo Morales, Stanley Ackerman, Martha Greenhouse, Dagne Crane, Princess Fatosh, John Braden, Charlotte Rae, Miguel Ángel Suárez, Conrad Bain, Don Dunphy, Howard Cosell, Nati Abascal, David Ortiz Angleró, Hy Anzell, Carlos Montalbán, Roger Grimsby, Sylvester Stallone, Woody Allen",Woody Allen,Andrew M. Costikyan,"Mickey Rose, Woody Allen","Axel Anderson, Jack Grossberg, Antonio Encarnacion, Manolo Villamil, Charles H. Joffe, Jack Rollins",Marvin Hamlisch,6.9,38994.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gK11RUXspxqty0Wq6KoV8J0crKO.jpg,1971,9833696.0,491.6848,https://www.imdb.com/title/tt0066808/
14,The Pallbearer,4.9,122.0,Released,1996-05-03,5656388.0,97.0,8000000.0,tt0117283,en,The Pallbearer,"Aspiring architect Tom Thompson is told by mysterious Ruth Abernathy that his best friend, ""Bill,"" has taken his own life. Except that Tom has never met Bill and neither have his incredulous friends. So when Tom foolishly agrees to give the eulogy at Bill's funeral, it sets him on a collision course with Ruth -- who is revealed to be Bill's oversexed mother -- and Julie DeMarco, the longtime crush Tom hasn't seen since they were teens.",8.36,Something magical is about to unfold in the most unexpected place.,"Comedy, Romance","The Chess Club, Miramax",United States of America,English,"Mark Margolis, David Schwimmer, Carol Kane, Joseph D'Onofrio, Gwen Goldsmith, George Katt, Zak Orth, Bitty Schram, Jean De Baer, Edoardo Ballerini, Robin Morse, Barbara Hershey, John A. Mudd, Joel Y. Zion, George Masters, Kevin Corrigan, Toni Collette, Matthew Faber, David Vadim, Gwyneth Paltrow, Eric Morace, Robert Katims, Tony Machine, Michael Rapaport, Todd Schrenk, Sal Maneri, Greg Grunberg, Marnie Pomerantz, Elizabeth Franz, Michael Vartan",Matt Reeves,Robert Elswit,"Jason Katims, Matt Reeves","Meryl Poster, Bob Weinstein, Paul Webster, J.J. Abrams, Harvey Weinstein",Stewart Copeland,5.0,11752.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/d0Z5nZAZltUeZauVfBWApt8lKTN.jpg,1996,0.0,0.0,https://www.imdb.com/title/tt0117283/
15,Clownhouse,6.2,178.0,Released,1990-04-21,0.0,81.0,200000.0,tt0094886,en,Clownhouse,Three teenage brothers are terrorized by a trio of escaped mental patients disguised as clowns.,15.099,...A circus of the mind.,Horror,Commercial Pictures,United States of America,English,"Kurt Peters, Emily Haefke, Brenda Cox Giguere, Frank Diamanti, Nathan Forrest Winters, Anne Tomin, Andrew P. Swan, Byron Weible, Erika Young, Gail Rouse-Haefke, Sondra Utterback, Tom Mottram, David E. Gehringer, Victor Salva, Timothy Enos, Jasper Watts, Karl-Heinz Teuber, Pam Sperring, Viletta Skillman, David C. Reinecker, Michael Jerome West, Brian McHugh, Karl Peters, Bobby Salem, Kate Haefke, Gloria Belsky, Sam Rockwell",Victor Salva,Robin Mortarotti,Victor Salva,"Robin Mortarotti, Victor Salva, Michael Danty, Francis Ford Coppola, Roman Coppola","Michael Becker, Thomas Richardson",5.4,5399.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lRhXNf7zrOShQumPmMxHifUUUhz.jpg,1990,0.0,0.0,https://www.imdb.com/title/tt0094886/
16,The Rhythm Section,5.5,612.0,Released,2020-01-31,5989583.0,109.0,50000000.0,tt7134096,en,The Rhythm Section,"When she discovers the plane crash that claimed the lives of her family was no accident, Stephanie Patrick enters the dark, complex world of international espionage seeking vengeance. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.",4.9615,Witness the birth of an assassin.,"Action, Thriller","EON Productions, Global Road Entertainment, Babieka Films, Ingenious Media, Whitebeard Films, AGC Studios, Paramount Pictures","Spain, United Kingdom, United States of America","العربية, English, Français, Español","Nasser Memarzia, Jade Anouka, Jack McEvoy, Shane Whisker, Blake Lively, Geoff Bell, Raza Jaffrey, Elly Curtis, Matilda Ziegler, Degnan Geraghty, Sterling K. Brown, Irma Mali, Richard Brake, Bill O'Connell, Daniel Mays, Tawfeek Barhom, Max Casella, Robert Mullins, David Duggan, Ibrahim Renno, Jude Law, Ivana Basic",Reed Morano,Sean Bobbitt,Mark Burnell,"Barbara Broccoli, Vaishali Mistry, Mark Burnell, Michael G. Wilson, Stuart Ford, Christelle Conan, Donald Tang, Simon Williams, Greg Shapiro, Gregg Wilson",Steve Mazzaro,5.4,20581.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/spTr0VYyRtl36Lkk6nCnnbFXhus.jpg,2020,0.0,0.0,https://www.imdb.com/title/tt7134096/
17,Iron Man,7.65,26923.0,Released,2008-04-30,585174222.0,126.0,140000000.0,tt0371746,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",21.7854,Heroes aren't born. They're built.,"Action, Science Fiction, Adventure","Marvel Studios, Marvel Entertainment, Fairview Entertainment",United States of America,"English, فارسی, اردو, العربية","Shaun Toub, Faran Tahir, Will Lyman, Ahmed Ahmed, Robert Berkman, Lauren Scyphers, Ava Rose Williams, Micah A. Hauptman, Terrence Howard, Kristin J. Hooper, Gabrielle Tuite, Marco Khan, Tim Rigby, Jeff Bridges, Summer Kylie Remington, Stan Lee, Jim Cramer, Vladimir Kubr, Russell Richardson, Nazanin Boniadi, Tim Griffin, Justin Rex, Gerard Sanders, Sarah Cahill, Samuel L. Jackson, Patrick O'Connell, Nicole Lindeblad, Masha Lund, Zorianna Kit, Marvin Jordan, Joshua Harto, Callie Croughwell, Eileen Weisinger, Adam Harrington, Lana Kinnear, Daston Kalili, Ricki Lander, Frank Nyi, Thomas Craig Plumer, Bill Smitrovich, Stacy Stas Hurst, Jeannine Kaspar, Sayed Badreya, Sahar Bibiyan, Garret Noël, Clark Gregg, Jon Favreau, James Bethea, Flavia Manes Rossi, Tim Guinee, Fahim Fazli, Gwyneth Paltrow, Ben Newmark, Robert Downey Jr., Paul Bettany, Tom Morello, Meera Simhan, Ido Mor, Javan Tahir, Mike Cochrane, Leslie Bibb, Kevin Foster, Reid Harper, Peter Billingsley, Donna Evans",Jon Favreau,Matthew Libatique,"Don Heck, Hawk Ostby, Larry Lieber, Matt Holloway, Mark Fergus, Art Marcum, Stan Lee, Jack Kirby","Louis D'Esposito, Kevin Feige, David Maisel, Ari Arad, Avi Arad, Jon Favreau, Stan Lee, Peter Billingsley",Ramin Djawadi,7.9,1172132.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008,445174222.0,317.98158714285717,https://www.imdb.com/title/tt0371746/
18,Highwaymen,5.7,219.0,Released,2004-02-13,371396.0,80.0,0.0,tt0339147,en,Highwaymen,"James Cray watched as his wife was killed by Fargo, a hit-and-run serial murderer. After severely injuring Fargo and going to prison for several years, James is now determined to avenge his wife's death. He drives across the country looking for Fargo's 1972 Cadillac Eldorado, which the now-disabled killer has turned into a rolling death trap. James' search is helped by a state traffic officer and a singer with her own agenda.",9.504,"When murder is no accident, revenge is no crime.","Action, Thriller, Crime, Horror","New Line Cinema, Cornice Entertainment, Millennium Media","Canada, United States of America",English,"Martin Roach, Noam Jenkins, Bryan Renfro, Guylaine St-Onge, Rhona Mitra, Paul Rutledge, Jim Caviezel, Colm Feore, James Kee, Frankie Faison, Andrea Roth, Gordon Currie, Toby Proctor, Joe Pingue",Robert Harmon,Rene Ohashi,"Craig Mitchell, Hans Bauer","David Brewington, Toby Emmerich, Avi Lerner, Bradley Jenkel, Tim Van Rellim, Carroll Kemp, Mike Marcus, Trevor Short, Lynn Harris",Mark Isham,5.6,9808.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fJb2XlqYSYFA25EMyodon0cBare.jpg,2004,371396.0,0.0,https://www.imdb.com/title/tt0339147/
19,Sultan,6.9,234.0,Released,2016-07-06,102000000.0,170.0,10400000.0,tt4832640,hi,सुल्तान,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",4.5785,Wrestling is not a sport. Its about fighting what lies within,"Drama, Action, Romance",Yash Raj Films,India,"English, हिन्दी","Karamveer Choudhary, Anushka Sharma, Amit Sadh, Shibani Dandekar, Tyron Woodley, Marrese Crump, Randeep Hooda, Parikshat Sahni, Kubbra Sait, Ivan Rodrigues, Kumud Mishra, Anjana Om Kashyap, Marko Zaror, Meiyang Chang, Salman Khan, Anant Vidhaat Sharma, Ron Smoorenburg",Ali Abbas Zafar,Artur Żurawski,"Irshad Kamil, Ali Abbas Zafar, Aditya Chopra",Aditya Chopra,"Vishal Dadlani, Shekhar Ravjiani",7.1,55015.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vPTYtKuV8X5uUd3SqnzO14W6Dti.jpg,2016,91600000.0,880.7692307692308,https://www.imdb.com/title/tt4832640/
20,Blind,6.1,146.0,Released,2017-07-14,12522.0,105.0,0.0,tt1935089,en,Blind,A novelist is blinded in a car crash that killed his wife and several years later rediscovers his passion for life and writing when he embarks on an affair with the neglected wife of an indicted businessman.,17.409,We see what we want to see,"Drama, Romance",Michael Mailer Films,United States of America,English,"John Buffalo Mailer, Renée Willett, Dylan McDermott, Drew Moerlein, Jabari Gray, Viva Bianca, James McCaffrey, Steven Prescod, Eden Epstein, Dorothy Lyman, John Michael Lyles, Stephen Mailer, Rae Ritke, Chloe Goutal, Demi Moore, Sasha Lazard, Gerardo Rodriguez, Alec Baldwin, Hilaria Baldwin",Michael Mailer,Michał Dąbal,"John Buffalo Mailer, Diane Fisher","Martin Tuchman, Michael Mailer, Diane Fisher, Alessandro Penazzi, Jennifer Gelfer, Pamela Thur, Jonathan Gray, Alec Baldwin, Tamara Birkemoe, David Moscow, Alan Helene, Mallory Schwartz","Sasha Lazard, Amy Lee, Dave Eggar",5.8,4655.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cXyObe5aB63ueOndEXxXabgAvIi.jpg,2017,12522.0,0.0,https://www.imdb.com/title/tt1935089/
21,The Orphanage,7.2,2921.0,Released,2007-05-20,78638987.0,105.0,3400000.0,tt0464141,es,El orfanato,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",7.0805,A tale of love. A story of horror.,"Horror, Drama, Thriller","Telecinco Cinema, Rodar y Rodar",Spain,Español,"Fernando Cayo, Andrés Gertrúdix, Carmen López, Carla Gordillo, Blanca Martínez, Isabel Friera, Edgar Vivar, Mabel Rivera, Belén Rueda, Geraldine Chaplin, Óscar Lara, Montserrat Carulla, Óscar Casas, Georgina Avellaneda, Alejandro Camps, Jordi Cardus, Roger Príncep, Enric Arquimbau",J.A. Bayona,Óscar Faura,"Sergio G. Sánchez, Rubén Lardín","Joaquín Padró, Mar Targarona, Álvaro Augustin, Guillermo del Toro",Fernando Velázquez,7.4,167318.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vIpi1KtHLXUOfSVC2m6MqpjSPgL.jpg,2007,75238987.0,2212.911382352941,https://www.imdb.com/title/tt0464141/
22,Eternal Sunshine of the Spotless Mind,8.09,15416.0,Released,2004-03-19,72258126.0,108.0,20000000.0,tt0338013,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",13.2098,You can erase someone from your mind. Getting them out of your heart is another story.,"Science Fiction, Drama, Romance","Focus Features, Anonymous Content, This is that",United States of America,English,"Kirsten Dunst, Elijah Wood, Ryan Whitney, David Cross, Lauren Adler, Deirdre O'Connell, Jim Carrey, Debbon Ayer, Gerry Robert Byrne, Lola Daehler, Amir Ali Said, Josh Flitter, Paulie Litt, Thomas Jay Ryan, Mark Ruffalo, Tom Wilkinson, Jane Adams, Kate Winslet, Brian Price",Michel Gondry,Ellen Kuras,"Michel Gondry, Charlie Kaufman, Pierre Bismuth","Anthony Bregman, Georges Bermann, Glenn Williamson, David L. Bushell, Steve Golin, Charlie Kaufman",Jon Brion,8.3,1135250.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004,52258126.0,261.29063,https://www.imdb.com/title/tt0338013/
23,The First Omen,6.9,1064.0,Released,2024-04-03,53992802.0,119.0,30000000.0,tt5672290,en,The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",16.3975,Create something to fear.,Horror,"Phantom Four, 20th Century Studios",United States of America,"English, Italiano","Sônia Braga, Nicole Sorace, Eva Ras, Amalia Strand, Ishtar Apsara Currie-Wilson, Borislav Bogosavac, Federica Santoro, Darko Corovic, Eugenia Delbue, Anton Alexander, Marial Bajma-Riva, Rachel Hurd-Wood, Michelangelo Dalisi, Mateja Nešović, Dobrila Stojnić, Milena Božić, Guido Quaglione, Strahinja Despić, Marcello Paesano, Mina Knežević, Ema Nastić, Nell Tiger Free, Nigel Dyson, Tawfeek Barhom, Giacomo Henri Dossi, Andjelko Pavlović, Amy Clayton, Ralph Ineson, Charita Cecamore, Lana Stanojević, María Caballero, Dejan Dragosavac, Ljiljana Žunić, Donatella Bartoli, Mia McGovern Zaini, Bill Nighy, Daniela Barra, Mario Opinato, James Swanton, Alberto Tierrez, Miodrag Rakočević, Andrea Arcangeli, Alessandra Fallucchi, Ishtar Currie Wilson, Charles Dance, Dora Romano, Sylvia Panacione, Nicola Garofalo",Arkasha Stevenson,Aaron Morton,"Ben Jacoby, Arkasha Stevenson, Tim Smith, David Seltzer, Keith Thomas","Tim Smith, Whitney Brown, Keith Levine, David S. Goyer, Cristina Giubbetti, Gracie Wheelan",Mark Korven,6.5,64447.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tnsDyNNkOxYUyjD8CNJoAla6YvY.jpg,2024,23992802.0,79.97600666666666,https://www.imdb.com/title/tt5672290/
24,Species,5.972,1687.0,Released,1995-07-07,113400000.0,108.0,35000000.0,tt0114508,en,Species,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",13.0072,"For three million years, the human race has been at the top of the evolutionary ladder. Nothing lasts forever.","Science Fiction, Horror, Action","Metro-Goldwyn-Mayer, Frank Mancuso Jr. Productions",United States of America,English,"Christopher Ivins, David Jensen, Sara Lise, Herta Ware, Lisa Liberati, Michelle Williams, Pamela Cook, Jellybean Benítez, Lucy Rodriguez, Justin Armao, Whip Hubley, Leslie Ishii, Kurtis Burow, Frank Welker, Jason Newell, Stogie Kenyatta, Virginia Morris, Dana Hee, Greg Bronson, Dendrie Taylor, Caroline Barclay, Scott Sproule, Gary Bullock, Matthew Ashford, Roman Güttinger, Ed Stone, David K. Schroeder, Esther Scott, Robert Mendelson, Ben Kingsley, Melissa Bickerton, Anthony Guidera, Shirley Prestia, Jordan Lund, Marg Helgenberger, Richard Fancy, Coati Mundi, Marliese Schneider, Jimmy Chunga, Patricia Belcher, William Utay, Scott McKenna, Jayne Luke, Natasha Henstridge, Michael Madsen, James Ent, Alfred Molina, Forest Whitaker, William Bumiller, Zak Knutson, Susan Hauser, Don Fischer, David Selburg",Roger Donaldson,Andrzej Bartkowiak,"Ricardo F. Delgado, Dennis Feldman","Frank Mancuso Jr., Dennis Feldman, David Streit",Christopher Young,5.9,88745.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cT5wdyo8kT7dycqjrolJ2sHWkFx.jpg,1995,78400000.0,224.00000000000003,https://www.imdb.com/title/tt0114508/
25,Pretty in Pink,6.717,1129.0,Released,1986-02-28,40471663.0,97.0,9000000.0,tt0091790,en,Pretty in Pink,"Andie is an outcast, hanging out either with her older boss, who owns the record store where she works, or her quirky high school classmate Duckie, who has a crush on her. When one of the rich and popular kids at school, Blane, asks Andie out, it seems too good to be true. As Andie starts falling for Blane, she begins to realize that dating someone from a different social sphere is not easy.",2.6642,Blane's a pretty cool guy. Andie's pretty in pink. And Duckie's pretty crazy.,"Romance, Drama, Comedy","Paramount Pictures, Hughes Entertainment",United States of America,English,"Alexa Kenin, Kevin D. Lindsay, Timothy J., Robert Hitchcock, Terry Wilson, Jamie Anders, Audre Johnston, Karen E. Laine, Emily Longstreth, Gina Gershon, Jon Cryer, Kate Vernon, Margaret Colin, Melanie Manos, Jeffrey Hollie, David Sutton, Cindy Cavallero, William Winckler, Rock Deadrick, Kristy Swanson, Annie Potts, James Spader, Jimmer Podrasky, Tommy Blatnik, Saverio LoMedico, Harry Dean Stanton, Andrew McCarthy, Kevin T. Williams, Ithaka Darin Pappas, Bader Howar, Molly Ringwald, Bruno Coon, Kevin Ricard, Kimberly L. Ryusaki, Christian Jacobs, Andrew Dice Clay, James Huffman, Jim Haynie, Maggie Roswell, Dweezil Zappa",Howard Deutch,Tak Fujimoto,John Hughes,"Lauren Shuler Donner, Michael Chinich, John Hughes",Michael Gore,6.7,92323.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xbp6CXMBwO57mN8eVBMjkCcihHV.jpg,1986,31471663.0,349.6851444444444,https://www.imdb.com/title/tt0091790/
26,High Tension,6.8,1332.0,Released,2003-06-18,6291958.0,91.0,2500000.0,tt0338095,fr,Haute tension,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",3.781,Hearts will bleed.,"Horror, Thriller, Mystery","Alexandre Films, EuropaCorp, MediaPro Pictures","France, Romania","Italiano, English, Français","Cécile de France, Andrei Finti, Bogdan Uritescu, Gabriel Spahiu, Maïwenn, Marco Claudiu Pascu, Oana Pellea, Jean-Claude de Goros, Philippe Nahon, Franck Khalfoun",Alexandre Aja,Maxime Alexandre,"Grégory Levasseur, Alexandre Aja","Robert Benmussa, Alexandre Arcady",François-Eudes Chanfrault,6.7,80505.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vKeFa7CqSxmWsQDjHP6SJXKoDbj.jpg,2003,3791958.0,151.67832,https://www.imdb.com/title/tt0338095/
27,360,5.7,280.0,Released,2012-07-25,1663931.0,110.0,0.0,tt1680045,en,360,"A disparate group of characters unknowingly bond by the sexual choices they make. Consumed by loneliness, a British businessman ponders a rendezvous with a prostitute. The businessman's wife prepares to call it quits with her younger lover. A Brazilian student breaks up with her boyfriend in London. A recovering alcoholic travels to Phoenix in search of his missing daughter. A paroled sex offender struggles to stay composed when propositioned in a Denver airport. A widower's religious devotion is put to a difficult test.",12.198,Everything comes full circle,"Drama, Romance","BBC Film, O2 Filmes, Revolution Films, Wild Bunch, Unison Films, Hero Entertainment, Dor Film, Fidélité Films, ORF","Austria, Brazil, France, United Kingdom, Canada, United States of America","English, Deutsch, العربية, Français, Português, Pусский","Katrina Vasilieva, Dinara Drukarova, Lucia Siposová, Anthony Hopkins, Shaun Lucas, Sydney Wade, Gabriela Marcinková, Vladimir Vdovichenkov, Jude Law, Rachel Weisz, Ben Foster, Jamel Debbouze, Mark Ivanir, Tereza Srbova, Moritz Bleibtreu, Maria Flor, Johannes Krisch, Peter Morgan, Marianne Jean-Baptiste, Sean Power, Russell Balogh, Gerard Monaco, Kelvin Wise, Riann Steele, Martin McDougall, Juliano Cazarré",Fernando Meirelles,Adriano Goldman,Peter Morgan,"Danny Krausz, Andrew Eaton, Chris Hanley, Emanuel Michael, David Linde",Mark Orton,6.1,17754.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xzI3p0c2oFRMx5fYQg2BoQzYCE0.jpg,2012,1663931.0,0.0,https://www.imdb.com/title/tt1680045/
28,Lamb,6.4,912.0,Released,2021-08-12,3200000.0,106.0,0.0,tt9812474,is,Dýrið,"An Icelandic couple live with their herd of sheep on a beautiful but remote farm. When they discover a mysterious newborn on their land, they decide to keep it and raise it as their own. This unexpected development and the prospects of a new family brings them much joy before ultimately destroying them.",4.271,Mother. Nature.,"Drama, Fantasy, Horror","Go to Sheep, Film i Väst, Chimney Sweden, Chimney Poland","Poland, Sweden, Iceland",Íslenska,"Gunnar Þor Karlsson, Sigurður Elvar Viðarson, Ester Bibi, Björn Hlynur Haraldsson, Arnþruður Dögg Sigurðardóttir, Theodór Ingi Ólafsson, Noomi Rapace, Ingvar E. Sigurðsson, Lára Björk Hall, Hilmir Snær Guðnason",Valdimar Jóhannsson,Eli Arenson,"Valdimar Jóhannsson, Sjón","Sara Nassim, Peter Gustafsson, Jan Naszewski, Jon Mankell, Klaudia Śmieja-Rostworowska, Noomi Rapace, Håkan Pettersson, Hrönn Kristinsdóttir, Erik Rydell, Peter Possne, Béla Tarr, Marcin Drabiński",Tóti Guðnason,6.3,42274.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gP9yviboTGWGolqUZKIB1UkF1C2.jpg,2021,3200000.0,0.0,https://www.imdb.com/title/tt9812474/
29,Julia,6.5,150.0,Released,1977-10-01,20700000.0,117.0,7840000.0,tt0076245,en,Julia,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",3.8118,The story of two women whose friendship suddenly became a matter of life and death.,"Drama, Romance, Thriller",20th Century Fox,United States of America,"English, Français, Deutsch, Pусский","Elisabeth Mortensen, Stefan Gryff, Rosemary Murphy, Ted Richert, Jane Fonda, Meryl Streep, Antony Carrick, Gérard Buhr, Hal Holbrook, Lambert Wilson, Christian de Tillière, John Glover, Maximilian Schell, Jason Robards, Susan Jones, Vanessa Redgrave, Lisa Pelikan, Dora Doll, Maurice Denham, Hans Verner, Cathleen Nesbitt, Lillian Hellman, Mark Metcalf",Fred Zinnemann,Douglas Slocombe,"Lillian Hellman, Alvin Sargent","Julien Derode, Richard A. Roth",Georges Delerue,7.0,10918.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qHtPzs9eVCilp88c1arq73gH6xk.jpg,1977,12860000.0,164.03061224489795,https://www.imdb.com/title/tt0076245/
